function,time
extract_game_info,4.720601797103882
transform_game_info,0.9983000755310059
transform_game_info,0.9778673648834229
load_game_info,0.34109997749328613
load_game_info,0.3516571521759033
load_game_info,0.28723883628845215
extract_teams,0.6827356815338135
extract_teams,0.5899038314819336
transform_teams,0.003122091293334961
extract_teams,0.8195145130157471
transform_teams,0.006394147872924805
extract_teams,0.835036039352417
transform_teams,0.007513999938964844
load_teams,0.04466676712036133
append_boxscore_game,0.11197829246520996
append_boxscore_game,0.08349227905273438
append_boxscore_game,0.1133270263671875
transform_boxscore_players,0.8096637725830078
append_boxscore_players,0.18382048606872559
load_boxscore_game,15.760953903198242
append_boxscore_players,0.02070021629333496
append_boxscore_players,50.128464460372925
processed_game_log,9.306862115859985
processed_game_log,8.037989377975464
